start_time,end_time,title,title,RR,TL,P,FF,SO,RF,station_id
2025-11-29 23:00:17+00:00,2025-12-02 22:59:59+00:00,Bauarbeiten Züge halten Alszeile 126,Bauarbeiten Züge halten Alszeile 126,0.0,3.0,990.0,0.9,0.0,80.0,HW_25
2025-11-30 23:00:17+00:00,2025-12-02 22:59:59+00:00,Gleisbauarbeiten Busse halten bei Franz-Jonas-Platz 7-8,Gleisbauarbeiten Busse halten bei Franz-Jonas-Platz 7-8,0.0,2.6,992.2,1.0,0.0,98.0,HW_25
2025-11-30 23:00:17+00:00,2025-12-03 22:59:59+00:00,Gleisbauarbeiten Haltestelle aufgelassen,Gleisbauarbeiten Haltestelle aufgelassen,0.0,2.6,992.2,1.0,0.0,98.0,HW_25
2025-11-30 23:00:18+00:00,2025-12-02 22:59:59+00:00,Gleisbauarbeiten Busse halten Wallensteinstraße 51-53,Gleisbauarbeiten Busse halten Wallensteinstraße 51-53,0.0,2.6,992.2,1.0,0.0,98.0,HW_25
2025-11-30 23:00:18+00:00,2025-12-03 22:59:59+00:00,Züge halten  Gegenüber,Züge halten  Gegenüber,0.0,2.6,992.2,1.0,0.0,98.0,HW_25
2025-11-30 23:00:21+00:00,2025-12-02 22:59:59+00:00,Bauarbeiten Busse halten Grenzgasse 2-4,Bauarbeiten Busse halten Grenzgasse 2-4,0.0,2.6,992.2,1.0,0.0,98.0,HW_25
2025-11-30 23:00:21+00:00,2025-12-03 22:59:59+00:00,Bauarbeiten Busse halten Grenzgasse 2-4,Bauarbeiten Busse halten Grenzgasse 2-4,0.0,2.6,992.2,1.0,0.0,98.0,HW_25
2025-12-02 03:30:20+00:00,2025-12-02 23:50:00+00:00,Gleisbauarbeiten Busse halten bei Schloßhofer Straße 25-31,Gleisbauarbeiten Busse halten bei Schloßhofer Straße 25-31,0.0,3.1,993.2,3.9,0.0,98.0,HW_25
2025-12-02 03:30:23+00:00,2025-12-02 23:50:00+00:00,Gleisbauarbeiten Busse halten bei Schloßhofer Straße 25-31,Gleisbauarbeiten Busse halten bei Schloßhofer Straße 25-31,0.0,3.1,993.2,3.9,0.0,98.0,HW_25
2025-12-02 03:45:22+00:00,2025-12-02 23:35:00+00:00,Bauarbeiten Busse halten Breitenfurter Straße 236-238,Bauarbeiten Busse halten Breitenfurter Straße 236-238,0.0,3.0,993.3,3.1,0.0,98.0,HW_25
2025-12-02 19:45:00+00:00,2025-12-02 23:45:00+00:00,Kliebergasse,Kliebergasse,0.0,2.3,993.7,2.7,0.0,97.0,HW_25
