start_time,end_time,title,title,RR,TL,P,FF,SO,RF,station_id
2025-11-02 21:25:02+00:00,2025-11-03 22:59:59+00:00,Testtext GSC200 Test für LB / WLB und Lauftext,Testtext GSC200 Test für LB / WLB und Lauftext,0.2,11.7,987.3,5.9,0.0,89.0,HW_25
2025-11-03 03:45:02+00:00,2025-11-03 23:35:00+00:00,Bauarbeiten Busse halten Breitenfurter Straße 236-238,Bauarbeiten Busse halten Breitenfurter Straße 236-238,0.2,9.5,990.0,5.2,0.0,89.0,HW_25
2025-11-03 13:19:24+00:00,2025-11-03 14:19:00+00:00,Fahrtbehinderung wegen Rettungseinsatz,Fahrtbehinderung wegen Rettungseinsatz,0.0,12.4,996.2,7.0,221.0,55.0,HW_25
2025-11-03 13:33:31+00:00,2025-11-03 14:33:00+00:00,Falschparker Umeltung bis Volksoper über Linien 42 und 9!,Falschparker Umeltung bis Volksoper über Linien 42 und 9!,0.0,12.1,996.5,5.8,580.0,56.0,HW_25
2025-11-03 15:57:27+00:00,2025-11-03 17:05:00+00:00,Fahrtbehinderung Falschparker,Fahrtbehinderung Falschparker,0.0,10.6,998.1,3.9,0.0,59.0,HW_25
2025-11-03 15:59:52+00:00,2025-11-03 17:05:00+00:00,Fahrtbehinderung Falschparker,Fahrtbehinderung Falschparker,0.0,10.6,998.1,3.9,0.0,59.0,HW_25
2025-11-03 16:00:13+00:00,2025-11-03 17:05:00+00:00,Fahrtbehinderung Falschparker,Fahrtbehinderung Falschparker,0.0,10.5,998.2,4.1,0.0,59.0,HW_25
2025-11-03 16:02:17+00:00,2025-11-03 17:05:00+00:00,Fahrtbehinderung Falschparker,Fahrtbehinderung Falschparker,0.0,10.5,998.2,4.1,0.0,59.0,HW_25
2025-11-03 16:06:09+00:00,2025-11-03 17:05:00+00:00,Fahrtbehinderung Falschparker,Fahrtbehinderung Falschparker,0.0,10.5,998.2,4.1,0.0,59.0,HW_25
2025-11-03 16:08:03+00:00,2025-11-03 17:07:00+00:00,Fahrtbehinderung Falschparker,Fahrtbehinderung Falschparker,0.0,10.5,998.2,4.1,0.0,59.0,HW_25
2025-11-03 16:10:30+00:00,2025-11-03 17:10:00+00:00,Fahrtbehinderung Falschparker,Fahrtbehinderung Falschparker,0.0,10.4,998.4,3.9,0.0,59.0,HW_25
2025-11-03 16:10:55+00:00,2025-11-03 17:10:00+00:00,Fahrtbehinderung Falschparker,Fahrtbehinderung Falschparker,0.0,10.4,998.4,3.9,0.0,59.0,HW_25
2025-11-03 16:14:18+00:00,2025-11-03 17:13:00+00:00,Fahrtbehinderung Falschparker,Fahrtbehinderung Falschparker,0.0,10.4,998.4,3.9,0.0,59.0,HW_25
2025-11-03 16:44:15+00:00,2025-11-03 17:43:00+00:00,Fahrtbehinderung Schadhafter Zug,Fahrtbehinderung Schadhafter Zug,0.0,9.8,998.8,3.3,0.0,65.0,HW_25
2025-11-03 16:44:16+00:00,2025-11-03 17:43:00+00:00,Fahrtbehinderung Schadhafter Zug,Fahrtbehinderung Schadhafter Zug,0.0,9.8,998.8,3.3,0.0,65.0,HW_25
2025-11-03 16:44:19+00:00,2025-11-03 17:43:00+00:00,Fahrtbehinderung Schadhafter Zug,Fahrtbehinderung Schadhafter Zug,0.0,9.8,998.8,3.3,0.0,65.0,HW_25
2025-11-03 16:44:21+00:00,2025-11-03 17:43:00+00:00,Fahrtbehinderung Schadhafter Zug,Fahrtbehinderung Schadhafter Zug,0.0,9.8,998.8,3.3,0.0,65.0,HW_25
2025-11-03 16:44:44+00:00,2025-11-03 17:44:00+00:00,Fahrtbehinderung Schadhafter Zug,Fahrtbehinderung Schadhafter Zug,0.0,9.8,998.8,3.3,0.0,65.0,HW_25
2025-11-03 16:44:48+00:00,2025-11-03 17:44:00+00:00,Fahrtbehinderung Schadhafter Zug,Fahrtbehinderung Schadhafter Zug,0.0,9.8,998.8,3.3,0.0,65.0,HW_25
